symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
AAOI,0001158114,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1158114/000143774926005875/aaoi20251231_10k.htm,2026-02-26,2026-07-16,,,,0001437749-26-005875/aaoi20251231_10k.htm,0001437749-26-005875,aaoi20251231_10k.htm,10-K,2026-02-26T21:24:24.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001158114.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,3,424B5,424B5,11,0,18,0,newer_supported_filing_displaced_by_policy
ALAB,0001736297,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,2026-02-20,2026-07-16,,,,0001736297-26-000010/alab-20251231.htm,0001736297-26-000010,alab-20251231.htm,10-K,2026-02-20T22:26:05.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001736297.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,6,1,0,0,
ASTS,0001780312,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1780312/000178031226000006/asts-20251231.htm,2026-03-02,2026-07-16,,,,0001780312-26-000006/asts-20251231.htm,0001780312-26-000006,asts-20251231.htm,10-K,2026-03-02T21:39:58.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001780312.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,17,34,23,0,
BE,0001664703,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1664703/000162828026006516/be-20251231.htm,2026-02-09,2026-07-16,,,,0001628280-26-006516/be-20251231.htm,0001628280-26-006516,be-20251231.htm,10-K,2026-02-09T22:16:15.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001664703.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,1,424B7,424B7,8,1,4,0,newer_supported_filing_displaced_by_policy
CBRS,0002021728,Nasdaq,S-1,S-1/A,https://www.sec.gov/Archives/edgar/data/2021728/000162828026033143/cerebras-sx1a2.htm,2026-05-11,2026-07-16,,,,0001628280-26-033143/cerebras-sx1a2.htm,0001628280-26-033143,cerebras-sx1a2.htm,S-1/A,2026-05-11T12:04:58.000Z,,https://data.sec.gov/submissions/CIK0002021728.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,S-1,1,424B4,424B4,4,1,0,0,newer_supported_filing_displaced_by_policy
CIFR,0001819989,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1819989/000181998926000009/cifr-20251231.htm,2026-02-24,2026-07-16,,,,0001819989-26-000009/cifr-20251231.htm,0001819989-26-000009,cifr-20251231.htm,10-K,2026-02-24T14:06:47.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001819989.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,14,16,10,0,
CRCL,0001876042,NYSE,10-K,10-K/A,https://www.sec.gov/Archives/edgar/data/1876042/000187604226000228/crcl-20251231.htm,2026-07-13,2026-07-16,,,,0001876042-26-000228/crcl-20251231.htm,0001876042-26-000228,crcl-20251231.htm,10-K/A,2026-07-13T20:40:02.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001876042.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,8,2,0,0,
CRDO,0001807794,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,2026-06-15,2026-07-16,,,,0001628280-26-043303/crdo-20260502.htm,0001628280-26-043303,crdo-20260502.htm,10-K,2026-06-15T21:09:27.000Z,2026-05-02,https://data.sec.gov/submissions/CIK0001807794.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,8,1,3,0,
CRWV,0001769628,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,2026-07-16,,,,0001769628-26-000104/crwv-20251231.htm,0001769628-26-000104,crwv-20251231.htm,10-K,2026-03-02T21:14:01.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001769628.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,4,2,0,0,
ETN,0001551182,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,2026-02-26,2026-07-16,,,,0001551182-26-000007/etn-20251231.htm,0001551182-26-000007,etn-20251231.htm,10-K,2026-02-26T20:24:16.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001551182.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,4,424B5,424B5,9,0,14,0,newer_supported_filing_displaced_by_policy
