symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
ASTS,0001780312,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1780312/000119312526342550/asts-20260630.htm,2026-08-10,2026-08-14,,,,0001193125-26-342550/asts-20260630.htm,0001193125-26-342550,asts-20260630.htm,10-Q,2026-08-10T20:42:31.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0001780312.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
AXTI,0001051627,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1051627/000143774926027677/axti20260630_10q.htm,2026-08-13,2026-08-14,,,,0001437749-26-027677/axti20260630_10q.htm,0001437749-26-027677,axti20260630_10q.htm,10-Q,2026-08-13T20:16:33.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0001051627.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
COHR,0000820318,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/820318/000119312526346860/d128030d8k.htm,2026-08-12,2026-08-14,,,,0001193125-26-346860/d128030d8k.htm,0001193125-26-346860,d128030d8k.htm,8-K,2026-08-12T20:10:13.000Z,2026-08-12,https://data.sec.gov/submissions/CIK0000820318.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
CRDO,0001807794,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1807794/000162828026039474/crdo-20260528.htm,2026-06-01,2026-08-14,,,,0001628280-26-039474/crdo-20260528.htm,0001628280-26-039474,crdo-20260528.htm,8-K,2026-06-01T20:08:16.000Z,2026-05-28,https://data.sec.gov/submissions/CIK0001807794.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
IREN,0001878848,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1878848/000114036126032638/ef20080141_8k.htm,2026-08-13,2026-08-14,,,,0001140361-26-032638/ef20080141_8k.htm,0001140361-26-032638,ef20080141_8k.htm,8-K,2026-08-13T11:46:14.000Z,2026-08-13,https://data.sec.gov/submissions/CIK0001878848.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
LASR,0001124796,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1124796/000112479626000038/lasr-20260630.htm,2026-08-07,2026-08-14,,,,0001124796-26-000038/lasr-20260630.htm,0001124796-26-000038,lasr-20260630.htm,10-Q,2026-08-07T16:04:59.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0001124796.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
MDA,0001857047,NYSE,6-K,6-K,https://www.sec.gov/Archives/edgar/data/1857047/000110465926092384/tm2621766d2_6k.htm,2026-08-07,2026-08-14,,,,0001104659-26-092384/tm2621766d2_6k.htm,0001104659-26-092384,tm2621766d2_6k.htm,6-K,2026-08-07T12:23:43.000Z,2026-08-07,https://data.sec.gov/submissions/CIK0001857047.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,6-K,0,,,0,0,0,0,
MTSI,0001493594,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1493594/000149359426000038/mtsi-20260703.htm,2026-08-06,2026-08-14,,,,0001493594-26-000038/mtsi-20260703.htm,0001493594-26-000038,mtsi-20260703.htm,10-Q,2026-08-06T20:02:42.000Z,2026-07-03,https://data.sec.gov/submissions/CIK0001493594.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
ONDS,0001646188,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1646188/000119312526349288/onds-20260630.htm,2026-08-13,2026-08-14,,,,0001193125-26-349288/onds-20260630.htm,0001193125-26-349288,onds-20260630.htm,10-Q,2026-08-13T20:27:25.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0001646188.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
RKLB,0001819994,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1819994/000175392626001463/g085846_8k.htm,2026-08-13,2026-08-14,,,,0001753926-26-001463/g085846_8k.htm,0001753926-26-001463,g085846_8k.htm,8-K,2026-08-13T11:10:48.000Z,2026-08-13,https://data.sec.gov/submissions/CIK0001819994.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
