symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
AAOI,0001158114,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1158114/000168316826007160/aaoi_8k.htm,2026-09-15,2026-09-25,,,,0001683168-26-007160/aaoi_8k.htm,0001683168-26-007160,aaoi_8k.htm,8-K,2026-09-15T20:05:44.000Z,2026-09-10,https://data.sec.gov/submissions/CIK0001158114.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
ALAB,0001736297,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000035/alab-20260630.htm,2026-08-05,2026-09-25,,,,0001736297-26-000035/alab-20260630.htm,0001736297-26-000035,alab-20260630.htm,10-Q,2026-08-04T21:34:14.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0001736297.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
ALMU,0001828805,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1828805/000121390026100546/ea0305624-8k_aeluma.htm,2026-09-16,2026-09-25,,,,0001213900-26-100546/ea0305624-8k_aeluma.htm,0001213900-26-100546,ea0305624-8k_aeluma.htm,8-K,2026-09-16T20:45:14.000Z,2026-09-16,https://data.sec.gov/submissions/CIK0001828805.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
ALOY,0001567900,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1567900/000118518526003512/realloys8k081326.htm,2026-08-13,2026-09-25,,,,0001185185-26-003512/realloys8k081326.htm,0001185185-26-003512,realloys8k081326.htm,8-K,2026-08-13T21:13:57.000Z,2026-08-13,https://data.sec.gov/submissions/CIK0001567900.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
APLD,0001144879,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1144879/000114487926000044/apld-20260727.htm,2026-07-27,2026-09-25,,,,0001144879-26-000044/apld-20260727.htm,0001144879-26-000044,apld-20260727.htm,8-K,2026-07-27T21:04:53.000Z,2026-07-27,https://data.sec.gov/submissions/CIK0001144879.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
ASPI,0001921865,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1921865/000119312526384527/aspi-20260908.htm,2026-09-08,2026-09-25,,,,0001193125-26-384527/aspi-20260908.htm,0001193125-26-384527,aspi-20260908.htm,8-K,2026-09-08T13:20:20.000Z,2026-09-08,https://data.sec.gov/submissions/CIK0001921865.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
ASTS,0001780312,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1780312/000119312526342550/asts-20260630.htm,2026-08-10,2026-09-25,,,,0001193125-26-342550/asts-20260630.htm,0001193125-26-342550,asts-20260630.htm,10-Q,2026-08-10T20:42:31.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0001780312.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
AXTI,0001051627,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1051627/000143774926027677/axti20260630_10q.htm,2026-08-13,2026-09-25,,,,0001437749-26-027677/axti20260630_10q.htm,0001437749-26-027677,axti20260630_10q.htm,10-Q,2026-08-13T20:16:33.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0001051627.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
BE,0001664703,NYSE,10-Q,10-Q/A,https://www.sec.gov/Archives/edgar/data/1664703/000162828026050325/be-20260630.htm,2026-07-29,2026-09-25,,,,0001628280-26-050325/be-20260630.htm,0001628280-26-050325,be-20260630.htm,10-Q/A,2026-07-29T10:02:55.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0001664703.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
BRUN,0002090646,Nasdaq,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/2090646/000149315226039031/form10-q.htm,2026-08-18,2026-09-25,,,,0001493152-26-039031/form10-q.htm,0001493152-26-039031,form10-q.htm,10-Q,2026-08-18T20:50:43.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0002090646.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
